trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,1,-55.51510395425833,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-131.00671331639808,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-165.4770338719837,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-178.84731061837948,"{0: 18, 1: 4, 2: 2, 3: 4, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,13,5.269862256486829,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-214.68548775575258,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-31.178592562635643,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-114.85927023300603,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-24.602837007599955,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-65.25881358820547,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-3.8485017004319255,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-5.01429505665036,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-65.06287721338212,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-91.95233922592864,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,9,1.5689759813034314,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,12,7.561163338453275,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",35,5,-25.139283921785474,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",35,21,22.92651820173868,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,17,15.565585017424613,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",35,27,14.885093105186089,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,1,-17.477617794942837,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",20,2,-1.8363695934245312,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,0,27.12994896869204,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,9,-24.164432659086685,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",20,12,15.448649989058435,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,0,30.84783729845272,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,0,26.460760534909614,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,-6.687360483994446,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",35,12,29.360266080654227,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,8,7.631049203710601,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
