trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 0.9999500004166653}",25,0,-108.65529165777295,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.4, 'e': 0.9998000066665778}",25,0,-127.46707405919821,"{0: 13, 1: 6, 2: 3, 3: 2, 4: 1}",0
3,False,"{'a': 0.4, 'e': 0.9995500337489875}",20,13,-51.452216382983224,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 1}",1
4,False,"{'a': 0.4, 'e': 0.9992001066609779}",25,0,-177.34564681095225,"{0: 11, 1: 4, 2: 7, 3: 1, 4: 2}",0
5,False,"{'a': 0.4, 'e': 0.9987502603949663}",20,0,-153.7766727044185,"{0: 7, 1: 2, 2: 9, 3: 1, 4: 1}",0
6,False,"{'a': 0.4, 'e': 0.9982005399352042}",20,0,-43.015950253011525,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
7,False,"{'a': 0.4, 'e': 0.9975510002532796}",20,10,-27.718099646377016,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
8,False,"{'a': 0.4, 'e': 0.9968017063026194}",35,0,-133.17649887369404,"{0: 21, 1: 2, 2: 10, 3: 2, 4: 0}",0
9,False,"{'a': 0.4, 'e': 0.9959527330119943}",20,7,-49.08526730136238,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
10,False,"{'a': 0.4, 'e': 0.9950041652780258}",20,0,-170.2570395515124,"{0: 8, 1: 2, 2: 7, 3: 1, 4: 2}",0
11,False,"{'a': 0.4, 'e': 0.9939560979566968}",30,0,-146.8191513812987,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
12,False,"{'a': 0.4, 'e': 0.9928086358538663}",25,0,-105.01426189606319,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
13,False,"{'a': 0.4, 'e': 0.9915618937147881}",20,0,-31.01957755849208,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
14,False,"{'a': 0.4, 'e': 0.9902159962126372}",25,0,-148.7523277164683,"{0: 12, 1: 5, 2: 6, 3: 0, 4: 2}",0
15,False,"{'a': 0.4, 'e': 0.9887710779360422}",25,0,-186.99693354258415,"{0: 16, 1: 0, 2: 5, 3: 0, 4: 4}",0
16,False,"{'a': 0.4, 'e': 0.9872272833756269}",20,9,-50.386950720472456,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 1}",1
17,False,"{'a': 0.4, 'e': 0.9855847669095608}",25,0,-94.08668125067373,"{0: 13, 1: 4, 2: 7, 3: 1, 4: 0}",0
18,False,"{'a': 0.4, 'e': 0.9838436927881216}",30,6,-219.3926627571021,"{0: 11, 1: 0, 2: 6, 3: 5, 4: 2}",1
19,False,"{'a': 0.4, 'e': 0.9820042351172703}",20,13,-53.34051687932925,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 1}",1
20,False,"{'a': 0.4, 'e': 0.9800665778412416}",20,3,-24.363041893770827,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 0}",1
21,False,"{'a': 0.4, 'e': 0.9780309147241483}",25,4,-208.6447537562073,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 3}",1
22,False,"{'a': 0.4, 'e': 0.9758974493306056}",30,0,-193.0764563938541,"{0: 16, 1: 3, 2: 6, 3: 3, 4: 2}",0
23,False,"{'a': 0.4, 'e': 0.9736663950053748}",20,0,-85.08996048792362,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
24,False,"{'a': 0.4, 'e': 0.9713379748520297}",30,18,7.69923758604798,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.4, 'e': 0.9689124217106448}",25,0,-105.03885041850359,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
26,False,"{'a': 0.4, 'e': 0.9663899781345133}",20,0,-47.59674386066996,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
27,False,"{'a': 0.4, 'e': 0.9637708963658906}",25,0,-117.02506254368691,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
28,False,"{'a': 0.4, 'e': 0.961055438310771}",35,0,-123.53145615900297,"{0: 24, 1: 1, 2: 7, 3: 2, 4: 1}",0
29,False,"{'a': 0.4, 'e': 0.9582438755126972}",20,0,-110.7305559591803,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
30,False,"{'a': 0.4, 'e': 0.9553364891256061}",20,0,-141.78823780632902,"{0: 10, 1: 1, 2: 5, 3: 3, 4: 1}",0
31,False,"{'a': 0.4, 'e': 0.9523335698857136}",25,0,-132.94857621802572,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
32,False,"{'a': 0.4, 'e': 0.9492354180824408}",30,0,-197.8909199213699,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
33,False,"{'a': 0.4, 'e': 0.946042343528387}",25,0,-146.97033696192804,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
34,False,"{'a': 0.4, 'e': 0.9427546655283463}",20,3,-92.25828677496051,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 2}",1
35,False,"{'a': 0.4, 'e': 0.9393727128473791}",20,10,-42.449495276930676,"{0: 4, 1: 3, 2: 3, 3: 0, 4: 0}",1
36,False,"{'a': 0.4, 'e': 0.9358968236779348}",20,13,9.475239407231024,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.4, 'e': 0.9323273456060345}",20,0,-127.95451628710775,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
38,False,"{'a': 0.4, 'e': 0.9286646355765104}",20,0,-17.186640329331226,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
39,False,"{'a': 0.4, 'e': 0.9249090598573133}",20,0,-80.38108273322933,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
40,False,"{'a': 0.4, 'e': 0.921060994002885}",20,1,-49.73981717954232,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 1}",1
41,False,"{'a': 0.4, 'e': 0.9171208228166051}",25,11,-91.35710618066071,"{0: 7, 1: 2, 2: 3, 3: 1, 4: 1}",1
42,False,"{'a': 0.4, 'e': 0.9130889403123084}",20,0,-133.85134256547795,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
43,False,"{'a': 0.4, 'e': 0.9089657496748853}",20,0,-62.02314437557326,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
44,False,"{'a': 0.4, 'e': 0.9047516632199634}",25,0,-83.77439477653213,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
45,False,"{'a': 0.4, 'e': 0.900447102352677}",25,0,-79.82328396984578,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
46,False,"{'a': 0.4, 'e': 0.8960524975255254}",20,0,-46.49173272023098,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
47,False,"{'a': 0.4, 'e': 0.8915682881953292}",20,0,-18.947721757118288,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
48,False,"{'a': 0.4, 'e': 0.8869949227792842}",30,0,-179.92376380197953,"{0: 21, 1: 3, 2: 1, 3: 1, 4: 4}",0
49,False,"{'a': 0.4, 'e': 0.8823328586101216}",25,0,-55.567402132982615,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
50,False,"{'a': 0.4, 'e': 0.8775825618903729}",30,0,-282.5196673724174,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 5}",0
51,False,"{'a': 0.4, 'e': 0.8727445076457515}",25,0,-185.77836241203434,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 4}",0
52,False,"{'a': 0.4, 'e': 0.8678191796776502}",30,0,-146.92484520051082,"{0: 21, 1: 1, 2: 4, 3: 2, 4: 2}",0
53,False,"{'a': 0.4, 'e': 0.862807070514761}",25,0,-70.88350705873724,"{0: 15, 1: 6, 2: 2, 3: 2, 4: 0}",0
54,False,"{'a': 0.4, 'e': 0.8577086813638243}",25,0,-68.02725312231927,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
55,False,"{'a': 0.4, 'e': 0.852524522059506}",20,0,-89.16526985190664,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
56,False,"{'a': 0.4, 'e': 0.847255111013416}",20,0,-157.064745320432,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
57,False,"{'a': 0.4, 'e': 0.8419009751622687}",30,0,-201.83543837355415,"{0: 15, 1: 2, 2: 9, 3: 2, 4: 2}",0
58,False,"{'a': 0.4, 'e': 0.836462649915187}",25,0,-56.11398112346971,"{0: 16, 1: 6, 2: 2, 3: 1, 4: 0}",0
59,False,"{'a': 0.4, 'e': 0.8309406791001637}",25,0,-6.270080157540578,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
60,False,"{'a': 0.4, 'e': 0.8253356149096787}",25,0,-115.5898361970475,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
61,False,"{'a': 0.4, 'e': 0.8196480178454795}",20,12,-8.342386279682168,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
62,False,"{'a': 0.4, 'e': 0.813878456662534}",25,14,-25.811275164385336,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
63,False,"{'a': 0.4, 'e': 0.8080275083121521}",25,0,-85.48601408109512,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
64,False,"{'a': 0.4, 'e': 0.802095757884293}",25,0,-59.87350319801194,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
65,False,"{'a': 0.4, 'e': 0.7960837985490558}",20,0,-85.56198144266467,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
66,False,"{'a': 0.4, 'e': 0.7899922314973652}",20,0,-61.07136093024134,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
67,False,"{'a': 0.4, 'e': 0.7838216658808494}",20,0,-58.99119890459682,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
68,False,"{'a': 0.4, 'e': 0.7775727187509283}",30,0,-159.47149980486506,"{0: 22, 1: 1, 2: 2, 3: 2, 4: 3}",0
69,False,"{'a': 0.4, 'e': 0.7712460149971065}",25,4,-135.95012745830653,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 2}",1
70,False,"{'a': 0.4, 'e': 0.7648421872844885}",20,11,-26.510765460131715,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 0}",1
71,False,"{'a': 0.4, 'e': 0.7583618759905083}",25,7,-30.381650541616715,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
72,False,"{'a': 0.4, 'e': 0.7518057291408953}",25,8,-68.88885232136072,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 0}",1
73,False,"{'a': 0.4, 'e': 0.7451744023448703}",35,0,-87.32550567492267,"{0: 29, 1: 1, 2: 2, 3: 1, 4: 2}",0
74,False,"{'a': 0.4, 'e': 0.7384685587295879}",25,0,-74.9355542488107,"{0: 15, 1: 1, 2: 9, 3: 0, 4: 0}",0
75,False,"{'a': 0.4, 'e': 0.731688868873821}",20,0,-100.77620724960751,"{0: 9, 1: 5, 2: 5, 3: 0, 4: 1}",0
76,False,"{'a': 0.4, 'e': 0.7248360107409055}",25,0,-57.421195812804356,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
77,False,"{'a': 0.4, 'e': 0.7179106696109439}",25,16,-17.127167548241275,"{0: 5, 1: 3, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.4, 'e': 0.7109135380122773}",25,0,-85.66064875031594,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
79,False,"{'a': 0.4, 'e': 0.7038453156522362}",25,16,-25.176422950244902,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
80,False,"{'a': 0.4, 'e': 0.6967067093471657}",35,0,-80.79391729798172,"{0: 26, 1: 2, 2: 5, 3: 1, 4: 1}",0
81,False,"{'a': 0.4, 'e': 0.6894984329517468}",30,0,-83.55822116602745,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
82,False,"{'a': 0.4, 'e': 0.6822212072876135}",30,6,-68.67068383205735,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 2}",1
83,False,"{'a': 0.4, 'e': 0.6748757600712672}",25,3,-25.505090661258972,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 0}",1
84,False,"{'a': 0.4, 'e': 0.6674628258413084}",20,9,-15.040334010807086,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
85,False,"{'a': 0.4, 'e': 0.6599831458849826}",25,0,-76.19163552737851,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
86,False,"{'a': 0.4, 'e': 0.6524374681640518}",20,12,12.897827892434075,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
