trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-16.85557699,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
2,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-76.55034029,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
3,FALSE,"{'a': 0.5, 'e': 1.0}",35,0,-239.8181407,"{0: 19, 1: 6, 2: 5, 3: 1, 4: 4}",0
4,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-86.63292178,"{0: 11, 1: 0, 2: 8, 3: 1, 4: 0}",0
5,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-1.463564398,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
6,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-73.98214204,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
7,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-138.4223932,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
8,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-192.5249821,"{0: 10, 1: 2, 2: 3, 3: 2, 4: 3}",0
9,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-39.48912716,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
10,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-107.8195444,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
11,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-146.2758608,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
12,FALSE,"{'a': 0.5, 'e': 1.0}",30,15,-132.6863336,"{0: 7, 1: 2, 2: 3, 3: 1, 4: 2}",1
13,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-269.9847946,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 5}",0
14,FALSE,"{'a': 0.5, 'e': 1.0}",25,16,-7.375291184,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
15,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-40.89232268,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
16,FALSE,"{'a': 0.5, 'e': 1.0}",35,0,-266.4185103,"{0: 17, 1: 5, 2: 9, 3: 0, 4: 4}",0
17,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-228.7108578,"{0: 11, 1: 2, 2: 7, 3: 2, 4: 3}",0
18,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-161.7702839,"{0: 11, 1: 2, 2: 10, 3: 1, 4: 1}",0
19,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-226.1395033,"{0: 10, 1: 0, 2: 5, 3: 1, 4: 4}",0
20,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-174.4830032,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
1,TRUE,"{'a': 0.5, 'e': 1.0}",35,0,-175.2752092,"{0: 23, 1: 2, 2: 7, 3: 0, 4: 3}",0
2,TRUE,"{'a': 0.5, 'e': 1.0}",20,0,-100.459074,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",1
3,TRUE,"{'a': 0.5, 'e': 1.0}",20,0,-168.448034,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
4,TRUE,"{'a': 0.5, 'e': 1.0}",25,0,-148.426685,"{0: 12, 1: 3, 2: 7, 3: 2, 4: 1}",0
5,TRUE,"{'a': 0.5, 'e': 1.0}",25,0,-123.4052883,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
6,TRUE,"{'a': 0.5, 'e': 1.0}",20,0,-47.69619538,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
7,TRUE,"{'a': 0.5, 'e': 1.0}",20,0,-142.9826245,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
8,TRUE,"{'a': 0.5, 'e': 1.0}",20,0,-135.1352377,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
9,TRUE,"{'a': 0.5, 'e': 1.0}",25,0,-58.4422604,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",0
10,TRUE,"{'a': 0.5, 'e': 1.0}",30,0,-180.6139475,"{0: 18, 1: 2, 2: 5, 3: 3, 4: 2}",0
